state,full_ac,not_full_ac,first_class
Andhra Pradesh,8,100,1
Assam,3,43,0
Bangladesh,0,2,0
Bihar,2,81,0
Chandigarh,3,7,0
Chhattisgarh,1,26,3
Delhi NCT,13,78,0
Goa,4,17,0
Gujarat,3,178,5
Haryana,2,87,2
Himachal Pradesh,0,14,2
Jammu and Kashmir,9,34,0
Jharkhand,0,25,0
Karnataka,13,185,7
Kerala,0,32,0
Madhya Pradesh,10,143,5
Maharashtra,35,189,10
Nagaland,0,2,0
Odisha,0,3,0
Orissa,0,9,0
Puducherry,0,9,0
Punjab,2,52,0
Rajasthan,7,118,1
Tamil Nadu,9,105,10
Tripura,0,7,0
Uttar Pradesh,2,149,0
Uttarakhand,6,76,3
West Bengal,0,79,6
